country_iso3,country_name,year,agency,rating,outlook,action,action_date,rating_score,provenance,data_note
NGA,Nigeria,2009,S&P,BB-u,Stable,upgrade,2009-11-03,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2010,Moody's,Aa2,Stable,upgrade,2010-04-07,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2003,S&P,BB-,Stable,upgrade,2003-09-16,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2003,Fitch,AAA,Stable,upgrade,2003-05-03,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2013,Fitch,AA,Stable,downgrade,2013-07-12,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2008,S&P,BB,Stable,downgrade,2008-03-16,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2017,S&P,AA+,Stable,upgrade,2017-01-06,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2013,Moody's,A2,Stable,upgrade,2013-07-12,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2017,Fitch,BB-,Stable,downgrade,2017-02-27,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2006,Fitch,B+,Stable,downgrade,2006-05-27,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2016,Moody's,Caa2,Stable,upgrade,2016-11-04,4,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2010,S&P,A+,Stable,upgrade,2010-10-12,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2005,S&P,A,Stable,downgrade,2005-05-13,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2002,Fitch,A-,Stable,upgrade,,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2011,Moody's,Ba3,Stable,upgrade,2011-08-22,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2023,S&P,A-,Stable,downgrade,2023-11-25,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2007,Moody's,A3,Stable,upgrade,2007-05-06,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2011,S&P,BBB,Stable,upgrade,2011-12-08,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2008,S&P,BB+,,upgrade,2008-07-01,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2002,S&P,BB,Stable,upgrade,2002-11-23,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2006,Moody's,Baa2,Stable,downgrade,2006-07-05,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2000,S&P,AA-,Stable,assign,2000-10-10,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2014,Fitch,A-,Stable,downgrade,2014-04-24,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2012,Moody's,Aa3,Stable,upgrade,2012-06-18,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2007,Fitch,AA+,Stable,downgrade,2007-01-21,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
USA,United States,2000,Moody's,Aaa,Stable,assign,2000-03-18,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2016,S&P,BB-,Stable,upgrade,2016-03-14,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2023,Moody's,Baa3,Stable,downgrade,2023-11-12,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2003,Fitch,C/D,Negative,downgrade,2003-04-05,1,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2007,Moody's,Baa3,Stable,downgrade,2007-12-26,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2008,Fitch,BB+u,n/a,upgrade,2008-09-02,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2001,Fitch,B+,Stable,upgrade,2001-08-15,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2012,S&P,B-,Developing,upgrade,2012-03-07,6,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2018,S&P,BB+,Stable,upgrade,2018-08-17,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2010,S&P,A+,Stable,upgrade,2010-03-04,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2008,Moody's,Baa2,Stable,upgrade,2008-08-08,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2000,Fitch,BB-,Stable,assign,2000-01-14,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2019,Moody's,B1,Stable,upgrade,2019-03-10,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2012,S&P,A-,Stable,downgrade,2012-10-19,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2019,Moody's,A1,Stable,downgrade,2019-02-15,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2018,Moody's,A2,Stable,downgrade,2018-10-11,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2014,S&P,BB+,Stable,downgrade,2014-03-23,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2009,Moody's,B1,Developing,upgrade,2009-06-06,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2012,S&P,AA-,Stable,upgrade,2012-05-06,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2002,Fitch,BB,Stable,upgrade,2002-12-14,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2018,Fitch,B,Stable,downgrade,2018-08-18,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2006,S&P,BB,Stable,downgrade,2006-02-15,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2018,Fitch,A,Stable,upgrade,2018-02-05,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2004,S&P,BB+,Developing,downgrade,2004-04-04,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
USA,United States,2008,Moody's,Aa1,Stable,downgrade,2008-03-06,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2017,Fitch,AA+u,Developing,upgrade,2017-10-08,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2008,Moody's,Aa3,Stable,downgrade,2008-10-16,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2021,Moody's,B2,Developing,downgrade,,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2000,S&P,BBB-,Stable,assign,2000-04-05,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2022,Moody's,Aa3,,upgrade,2022-04-03,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2006,S&P,B-,Stable,upgrade,2006-04-11,6,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2000,S&P,AA,Stable,assign,2000-10-20,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2008,S&P,B+,Stable,downgrade,2008-04-20,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2012,Fitch,AA-,Stable,upgrade,2012-11-11,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
